Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
131576577,10/20/2021 19:03,10/20/2021 19:06,70820,204,1038,Boulevard of the Allies & Parkview Ave,1088,Frazier St & Dawson St,Subscriber
131576584,10/20/2021 19:03,10/20/2021 19:10,70850,438,1074,South Side Trail & S 4th St,1074,South Side Trail & S 4th St,Customer
131576660,10/20/2021 19:08,10/20/2021 19:10,70224,125,,BIKE 70224,,BIKE 70224,Subscriber
131576696,10/20/2021 19:09,10/20/2021 19:12,71166,143,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1099,Forbes Ave & S Craig St,Customer
131576705,10/20/2021 19:10,10/20/2021 19:20,70224,562,,BIKE 70224,1039,Atwood St & Bates St,Subscriber
131576743,10/20/2021 19:12,10/20/2021 19:18,71169,363,,BIKE 71169,,BIKE 71169,Subscriber
131576800,10/20/2021 19:15,10/20/2021 19:50,70000,2116,1084,Hot Metal St & Tunnel Blvd,1084,Hot Metal St & Tunnel Blvd,Customer
131576805,10/20/2021 19:16,10/20/2021 19:18,70624,138,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
131576841,10/20/2021 19:18,10/20/2021 19:21,70712,218,1032,Walnut St & College St,1031,Maryland Ave & Ellsworth Ave,Subscriber
131576851,10/20/2021 19:18,10/20/2021 19:29,70741,650,1049,S 12th St & E Carson St,,BIKE 70741,Customer
131576868,10/20/2021 19:20,10/20/2021 20:05,70783,2697,1046,S 25th St & E Carson St,,BIKE 70783,Customer
131576896,10/20/2021 19:21,10/20/2021 19:33,70791,692,1028,Penn Ave & Putnam St (Bakery Square),49401,Stanton Ave & N Negley Ave,Subscriber
131576938,10/20/2021 19:24,10/20/2021 19:33,70182,560,1039,Atwood St & Bates St,1088,Frazier St & Dawson St,Subscriber
131576997,10/20/2021 19:28,10/20/2021 19:32,70149,259,1020,42nd & Penn Ave.,1019,42nd St & Butler St,Subscriber
131577019,10/20/2021 19:29,10/20/2021 19:31,71169,124,,BIKE 71169,,BIKE 71169,Subscriber
131577169,10/20/2021 19:39,10/20/2021 19:44,70764,335,1047,S 22nd St & E Carson St,1045,S 27th St & Sidney St. (Southside Works),Subscriber
131577257,10/20/2021 19:43,10/20/2021 19:47,71169,219,,BIKE 71169,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Subscriber
